TESTATA;27/01/2022;09:48;SALARI 2021/12;920
GE;RIGA;G;44;01;000002;;TR_02@ND@SO@SE;STI;EURO;;6519,42;6519,42;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_02@ND@SO@SE;6519,42;ND
GE;RIGA;G;44;01;000002;;TR_09@ND@MO@ND;STI;EURO;;7142,49;7142,49;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_09@ND@MO@ND;7142,49;ND
GE;RIGA;G;44;01;000002;;TR_09@ND@PR@ND;STI;EURO;;2580,74;2580,74;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;TR_09@ND@PR@ND;2580,74;ND
GE;RIGA;G;44;01;000002;;EC_0010@ND@BU@ND;STI;EURO;;7046,40;7046,40;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BU@ND;7046,40;ND
GE;RIGA;G;08;13;000001;;SE;STI;EURO;;18696,45;18696,45;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BU@ND;2962,12;ND
GE;CDC;LO_00@ND@SO@ND;683,83;ND
GE;CDC;LO_00@ND@TA@ND;602,71;ND
GE;CDC;EC_0010@ND@BF@ND;823,26;ND
GE;CDC;EC_0010@ND@BL@ND;8546,43;ND
GE;CDC;EC_0010@ND@BS@ND;2981,56;ND
GE;CDC;LO_00@ND@NI@ND;85,71;ND
GE;CDC;LO_00@ND@PR@ND;920,52;ND
GE;CDC;LO_00@ND@RM@ND;675,14;ND
GE;CDC;TR_09@ND@MO@ND;415,17;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@SO@ND;STI;EURO;;6315,05;6315,05;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@SO@ND;6315,05;ND
GE;RIGA;G;44;01;000002;;LO_00@ND@TA@ND;STI;EURO;;5217,60;5217,60;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;LO_00@ND@TA@ND;5217,60;ND
GE;RIGA;G;08;13;000017;;SE;STI;EURO;;1611,58;1611,58;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_04@ND@SO@ND;441,41;ND
GE;CDC;LO_00@ND@PR@ND;395,25;ND
GE;CDC;EC_0010@ND@BL@ND;155,75;ND
GE;CDC;EC_0010@ND@BS@ND;235,73;ND
GE;CDC;LO_00@ND@TA@ND;383,44;ND
GE;RIGA;G;44;01;000004;;AM_00@ND@SO@SE;STI;EURO;;155,24;155,24;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;155,24;ND
GE;RIGA;G;08;13;000003;;SE;STI;EURO;;24685,76;24685,76;A;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_00@ND@SO@SE;135,11;ND
GE;CDC;AM_04@ND@SO@ND;42,88;ND
GE;CDC;AM_07@ND@SO@SE;157,98;ND
GE;CDC;CO_00@ND@SO@SE;117,66;ND
GE;CDC;CO_01@ND@SO@SE;22,10;ND
GE;CDC;DG_00@ND@SO@SE;229,15;ND
GE;CDC;EC_0010@ND@BF@ND;1122,11;ND
GE;CDC;EC_0010@ND@BL@ND;10786,01;ND
GE;CDC;EC_0010@ND@BS@ND;5209,93;ND
GE;CDC;EC_0010@ND@BU@ND;2617,75;ND
GE;CDC;FA_01@ND@SO@SE;103,72;ND
GE;CDC;LO_00@ND@CP@ND;52,62;ND
GE;CDC;LO_00@ND@MO@ND;471,00;ND
GE;CDC;LO_00@ND@NI@ND;664,53;ND
GE;CDC;LO_00@ND@PR@ND;216,29;ND
GE;CDC;LO_00@ND@RM@ND;377,57;ND
GE;CDC;LO_00@ND@SO@ND;209,28;ND
GE;CDC;LO_00@ND@TA@ND;152,62;ND
GE;CDC;SI_02@ND@SO@SE;24,43;ND
GE;CDC;TR_02@ND@SO@ND;21,20;ND
GE;CDC;TR_02@ND@SO@SE;92,37;ND
GE;CDC;TR_09@ND@MO@ND;1379,28;ND
GE;CDC;TR_09@ND@PR@ND;480,17;ND
GE;RIGA;G;44;01;000004;;AM_04@ND@SO@ND;STI;EURO;;48,89;48,89;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_04@ND@SO@ND;48,89;ND
GE;RIGA;G;44;01;000004;;AM_07@ND@SO@SE;STI;EURO;;180,19;180,19;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;AM_07@ND@SO@SE;180,19;ND
GE;RIGA;G;44;01;000004;;CO_00@ND@SO@SE;STI;EURO;;131,77;131,77;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;CO_00@ND@SO@SE;131,77;ND
GE;RIGA;G;44;01;000004;;CO_01@ND@SO@SE;STI;EURO;;25,08;25,08;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;CO_01@ND@SO@SE;25,08;ND
GE;RIGA;G;44;01;000004;;DG_00@ND@SO@SE;STI;EURO;;258,13;258,13;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;DG_00@ND@SO@SE;258,13;ND
GE;RIGA;G;44;01;000004;;EC_0010@ND@BF@ND;STI;EURO;;1281,80;1281,80;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BF@ND;1281,80;ND
GE;RIGA;G;44;01;000004;;EC_0010@ND@BL@ND;STI;EURO;;12214,24;12214,24;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BL@ND;12214,24;ND
GE;RIGA;G;44;01;000004;;EC_0010@ND@BS@ND;STI;EURO;;5881,41;5881,41;D;;;;;;31/12/2021;31/12/2021;SALARI 2021/12;;;;;;;N;;;;;;
GE;CDC;EC_0010@ND@BS@ND;5881,41;ND
